ENSMUST00000178537 ENSMUSG00000095668
ENSMUST00000103269 ENSMUSG00000094525
ENSMUST00000103270 ENSMUSG00000076469
ENSMUST00000103662 ENSMUSG00000096678
ENSMUST00000103271 ENSMUSG00000076470
ENSMUST00000103272 ENSMUSG00000076471
ENSMUST00000103273 ENSMUSG00000076472
ENSMUST00000103274 ENSMUSG00000076473
ENSMUST00000103275 ENSMUSG00000076474
ENSMUST00000103276 ENSMUSG00000076475
ENSMUST00000103663 ENSMUSG00000096096
ENSMUST00000103664 ENSMUSG00000095607
ENSMUST00000103277 ENSMUSG00000076476
ENSMUST00000195087 ENSMUSG00000076477
ENSMUST00000103278 ENSMUSG00000076477
ENSMUST00000193997 ENSMUSG00000076478
ENSMUST00000103279 ENSMUSG00000076478
ENSMUST00000103638 ENSMUSG00000095126
ENSMUST00000103641 ENSMUSG00000096138
ENSMUST00000184687 ENSMUSG00000096138
ENSMUST00000103667 ENSMUSG00000076855
ENSMUST00000189634 ENSMUSG00000046203
ENSMUST00000056590 ENSMUSG00000046203
ENSMUST00000182769 ENSMUSG00000067882
ENSMUST00000088673 ENSMUSG00000067882
ENSMUST00000195764 ENSMUSG00000103081
ENSMUST00000174625 ENSMUSG00000079491
ENSMUST00000174382 ENSMUSG00000079491
ENSMUST00000166442 ENSMUSG00000079491
ENSMUST00000182198 ENSMUSG00000092572
ENSMUST00000172762 ENSMUSG00000092572
ENSMUST00000194951 ENSMUSG00000092572
ENSMUST00000195589 ENSMUSG00000079293
ENSMUST00000184581 ENSMUSG00000079293
ENSMUST00000112076 ENSMUSG00000079293
ENSMUST00000179386 ENSMUSG00000091950
ENSMUST00000173420 ENSMUSG00000092517
ENSMUST00000194248 ENSMUSG00000006395
ENSMUST00000179719 ENSMUSG00000006395
ENSMUST00000106393 ENSMUSG00000006395
ENSMUST00000132882 ENSMUSG00000006395
ENSMUST00000006562 ENSMUSG00000006395
ENSMUST00000100960 ENSMUSG00000092021
ENSMUST00000171587 ENSMUSG00000092021
ENSMUST00000174854 ENSMUSG00000055413
ENSMUST00000172979 ENSMUSG00000055413
ENSMUST00000116010 ENSMUSG00000055413
ENSMUST00000190447 ENSMUSG00000023341
ENSMUST00000188251 ENSMUSG00000023341
ENSMUST00000190097 ENSMUSG00000023341
ENSMUST00000191103 ENSMUSG00000023341
ENSMUST00000024112 ENSMUSG00000023341
ENSMUST00000174177 ENSMUSG00000092300
ENSMUST00000174248 ENSMUSG00000092300
ENSMUST00000173567 ENSMUSG00000092300
ENSMUST00000122808 ENSMUSG00000060183
ENSMUST00000077820 ENSMUSG00000060183
ENSMUST00000135748 ENSMUSG00000058908
ENSMUST00000134898 ENSMUSG00000058908
ENSMUST00000147728 ENSMUSG00000058908
ENSMUST00000077582 ENSMUSG00000058908
ENSMUST00000184850 ENSMUSG00000073406
ENSMUST00000173080 ENSMUSG00000073406
ENSMUST00000185167 ENSMUSG00000073406
ENSMUST00000195838 ENSMUSG00000073406
ENSMUST00000194244 ENSMUSG00000073406
ENSMUST00000185087 ENSMUSG00000073406
ENSMUST00000195833 ENSMUSG00000073406
ENSMUST00000184502 ENSMUSG00000073406
ENSMUST00000183560 ENSMUSG00000073406
ENSMUST00000183999 ENSMUSG00000073406
ENSMUST00000192532 ENSMUSG00000073406
ENSMUST00000182725 ENSMUSG00000029605
ENSMUST00000183291 ENSMUSG00000029605
ENSMUST00000086377 ENSMUSG00000029605
ENSMUST00000173185 ENSMUSG00000092212
ENSMUST00000103299 ENSMUSG00000076498
ENSMUST00000192856 ENSMUSG00000076490
ENSMUST00000103291 ENSMUSG00000076490
ENSMUST00000103682 ENSMUSG00000076870
ENSMUST00000103697 ENSMUSG00000076885
ENSMUST00000103706 ENSMUSG00000076894
ENSMUST00000103724 ENSMUSG00000076912
ENSMUST00000103737 ENSMUSG00000076925
ENSMUST00000103704 ENSMUSG00000076892
ENSMUST00000103721 ENSMUSG00000076909
ENSMUST00000103702 ENSMUSG00000076890
ENSMUST00000179426 ENSMUSG00000093925
ENSMUST00000103725 ENSMUSG00000076913
ENSMUST00000103726 ENSMUSG00000076914
ENSMUST00000103730 ENSMUSG00000076918
ENSMUST00000103738 ENSMUSG00000076926
ENSMUST00000103698 ENSMUSG00000076886
ENSMUST00000103713 ENSMUSG00000076901
ENSMUST00000180262 ENSMUSG00000096312
ENSMUST00000103719 ENSMUSG00000076907
ENSMUST00000103732 ENSMUSG00000076920
ENSMUST00000103406 ENSMUSG00000076605
ENSMUST00000167781 ENSMUSG00000090782
ENSMUST00000103699 ENSMUSG00000076887
ENSMUST00000103709 ENSMUSG00000076897
ENSMUST00000103409 ENSMUSG00000076608
ENSMUST00000103688 ENSMUSG00000076876
ENSMUST00000103712 ENSMUSG00000076900
ENSMUST00000103728 ENSMUSG00000076916
ENSMUST00000103734 ENSMUSG00000076922
ENSMUST00000103735 ENSMUSG00000076923
ENSMUST00000103686 ENSMUSG00000076874
ENSMUST00000165071 ENSMUSG00000091326
ENSMUST00000103408 ENSMUSG00000076607
ENSMUST00000103695 ENSMUSG00000076883
ENSMUST00000103700 ENSMUSG00000076888
ENSMUST00000103717 ENSMUSG00000076905
ENSMUST00000103690 ENSMUSG00000076878
ENSMUST00000103691 ENSMUSG00000076879
ENSMUST00000103694 ENSMUSG00000076882
ENSMUST00000103722 ENSMUSG00000076910
ENSMUST00000103407 ENSMUSG00000076606
ENSMUST00000103696 ENSMUSG00000076884
ENSMUST00000103718 ENSMUSG00000076906
ENSMUST00000103727 ENSMUSG00000076915
ENSMUST00000165025 ENSMUSG00000090574
ENSMUST00000170585 ENSMUSG00000091005
ENSMUST00000103692 ENSMUSG00000076880
ENSMUST00000103710 ENSMUSG00000076898
ENSMUST00000103705 ENSMUSG00000076893
ENSMUST00000103736 ENSMUSG00000076924
ENSMUST00000103687 ENSMUSG00000076875
ENSMUST00000103693 ENSMUSG00000076881
ENSMUST00000103703 ENSMUSG00000076891
ENSMUST00000103708 ENSMUSG00000076896
ENSMUST00000103720 ENSMUSG00000076908
ENSMUST00000103731 ENSMUSG00000076919
ENSMUST00000103733 ENSMUSG00000076921
ENSMUST00000103405 ENSMUSG00000076604
ENSMUST00000103562 ENSMUSG00000094770
ENSMUST00000103716 ENSMUSG00000076904
ENSMUST00000103729 ENSMUSG00000076917
ENSMUST00000103739 ENSMUSG00000076927
ENSMUST00000103711 ENSMUSG00000076899
ENSMUST00000103714 ENSMUSG00000076902
ENSMUST00000103701 ENSMUSG00000076889
ENSMUST00000103707 ENSMUSG00000076895
ENSMUST00000184430 ENSMUSG00000098799
ENSMUST00000103683 ENSMUSG00000076871
ENSMUST00000103689 ENSMUSG00000076877
ENSMUST00000167829 ENSMUSG00000090494
ENSMUST00000103715 ENSMUSG00000076903
ENSMUST00000103723 ENSMUSG00000076911
ENSMUST00000103427 ENSMUSG00000076618
ENSMUST00000103428 ENSMUSG00000076619
ENSMUST00000192746 ENSMUSG00000076620
ENSMUST00000103429 ENSMUSG00000076620
ENSMUST00000103430 ENSMUSG00000076621
ENSMUST00000103740 ENSMUSG00000076928
ENSMUST00000103410 ENSMUSG00000076609
ENSMUST00000103558 ENSMUSG00000076749
ENSMUST00000103561 ENSMUSG00000076752
ENSMUST00000179181 ENSMUSG00000076757
ENSMUST00000103566 ENSMUSG00000076757
ENSMUST00000177715 ENSMUSG00000076617
ENSMUST00000103426 ENSMUSG00000076617
ENSMUST00000194304 ENSMUSG00000076614
ENSMUST00000103420 ENSMUSG00000076614
ENSMUST00000103423 ENSMUSG00000076615
ENSMUST00000194162 ENSMUSG00000104213
ENSMUST00000192250 ENSMUSG00000104213
ENSMUST00000194738 ENSMUSG00000095079
ENSMUST00000178282 ENSMUSG00000095079
ENSMUST00000137336 ENSMUSG00000087642
ENSMUST00000195192 ENSMUSG00000076612
ENSMUST00000103416 ENSMUSG00000076612
ENSMUST00000192188 ENSMUSG00000076613
ENSMUST00000103418 ENSMUSG00000076613
ENSMUST00000103526 ENSMUSG00000095589
ENSMUST00000194071 ENSMUSG00000094862
ENSMUST00000103527 ENSMUSG00000094862
ENSMUST00000191803 ENSMUSG00000096499
ENSMUST00000103494 ENSMUSG00000096499
ENSMUST00000103495 ENSMUSG00000095700
ENSMUST00000194968 ENSMUSG00000095761
ENSMUST00000103506 ENSMUSG00000095761
ENSMUST00000103446 ENSMUSG00000094951
ENSMUST00000194581 ENSMUSG00000096078
ENSMUST00000163467 ENSMUSG00000096078
ENSMUST00000103451 ENSMUSG00000096638
ENSMUST00000195381 ENSMUSG00000103033
ENSMUST00000103450 ENSMUSG00000095429
ENSMUST00000180013 ENSMUSG00000095565
ENSMUST00000103468 ENSMUSG00000096108
ENSMUST00000103469 ENSMUSG00000095642
ENSMUST00000103483 ENSMUSG00000076674
ENSMUST00000195641 ENSMUSG00000076661
ENSMUST00000103470 ENSMUSG00000076661
ENSMUST00000103496 ENSMUSG00000095200
ENSMUST00000192591 ENSMUSG00000104452
ENSMUST00000179657 ENSMUSG00000096670
ENSMUST00000103529 ENSMUSG00000095889
ENSMUST00000195884 ENSMUSG00000096805
ENSMUST00000103471 ENSMUSG00000096805
ENSMUST00000125484 ENSMUSG00000076671
ENSMUST00000183954 ENSMUSG00000076671
ENSMUST00000103485 ENSMUSG00000076676
ENSMUST00000191862 ENSMUSG00000094051
ENSMUST00000103513 ENSMUSG00000094051
ENSMUST00000103472 ENSMUSG00000094102
ENSMUST00000103486 ENSMUSG00000076677
ENSMUST00000191918 ENSMUSG00000094174
ENSMUST00000177949 ENSMUSG00000094174
ENSMUST00000193936 ENSMUSG00000096407
ENSMUST00000179796 ENSMUSG00000096407
ENSMUST00000192911 ENSMUSG00000076646
ENSMUST00000103455 ENSMUSG00000076646
ENSMUST00000103489 ENSMUSG00000076680
ENSMUST00000193397 ENSMUSG00000087582
ENSMUST00000103456 ENSMUSG00000096824
ENSMUST00000192877 ENSMUSG00000094134
ENSMUST00000103457 ENSMUSG00000094134
ENSMUST00000193950 ENSMUSG00000095923
ENSMUST00000103514 ENSMUSG00000095923
ENSMUST00000193652 ENSMUSG00000094194
ENSMUST00000103458 ENSMUSG00000094194
ENSMUST00000195468 ENSMUSG00000076633
ENSMUST00000103442 ENSMUSG00000076633
ENSMUST00000103447 ENSMUSG00000095866
ENSMUST00000103501 ENSMUSG00000095554
ENSMUST00000103473 ENSMUSG00000096459
ENSMUST00000103461 ENSMUSG00000076652
ENSMUST00000103512 ENSMUSG00000093955
ENSMUST00000103443 ENSMUSG00000096464
ENSMUST00000103515 ENSMUSG00000095130
ENSMUST00000195037 ENSMUSG00000102301
ENSMUST00000195337 ENSMUSG00000076688
ENSMUST00000103497 ENSMUSG00000076688
ENSMUST00000192264 ENSMUSG00000095210
ENSMUST00000103452 ENSMUSG00000095210
ENSMUST00000195706 ENSMUSG00000076666
ENSMUST00000103475 ENSMUSG00000076666
ENSMUST00000195359 ENSMUSG00000095197
ENSMUST00000103530 ENSMUSG00000095197
ENSMUST00000193893 ENSMUSG00000094694
ENSMUST00000103498 ENSMUSG00000094694
ENSMUST00000103492 ENSMUSG00000095981
ENSMUST00000103459 ENSMUSG00000095571
ENSMUST00000191801 ENSMUSG00000102888
ENSMUST00000195469 ENSMUSG00000095416
ENSMUST00000109711 ENSMUSG00000095416
ENSMUST00000103500 ENSMUSG00000095416
ENSMUST00000194350 ENSMUSG00000076695
ENSMUST00000103504 ENSMUSG00000076695
ENSMUST00000191868 ENSMUSG00000094652
ENSMUST00000103516 ENSMUSG00000094652
ENSMUST00000195417 ENSMUSG00000095859
ENSMUST00000103517 ENSMUSG00000095859
ENSMUST00000103444 ENSMUSG00000095612
ENSMUST00000103448 ENSMUSG00000095285
ENSMUST00000103474 ENSMUSG00000076665
ENSMUST00000193133 ENSMUSG00000076653
ENSMUST00000103462 ENSMUSG00000076653
ENSMUST00000103493 ENSMUSG00000095442
ENSMUST00000194865 ENSMUSG00000076709
ENSMUST00000103518 ENSMUSG00000076709
ENSMUST00000192298 ENSMUSG00000096355
ENSMUST00000178949 ENSMUSG00000096355
ENSMUST00000192724 ENSMUSG00000076710
ENSMUST00000103519 ENSMUSG00000076710
ENSMUST00000193855 ENSMUSG00000096410
ENSMUST00000103505 ENSMUSG00000096410
ENSMUST00000194257 ENSMUSG00000102364
ENSMUST00000103521 ENSMUSG00000094198
ENSMUST00000192077 ENSMUSG00000103254
ENSMUST00000178229 ENSMUSG00000094164
ENSMUST00000103531 ENSMUSG00000094087
ENSMUST00000103503 ENSMUSG00000102313
ENSMUST00000171270 ENSMUSG00000102313
ENSMUST00000192554 ENSMUSG00000095204
ENSMUST00000103522 ENSMUSG00000095204
ENSMUST00000103523 ENSMUSG00000093894
ENSMUST00000195707 ENSMUSG00000096498
ENSMUST00000103449 ENSMUSG00000096498
ENSMUST00000193145 ENSMUSG00000094505
ENSMUST00000103524 ENSMUSG00000094505
ENSMUST00000103525 ENSMUSG00000094787
ENSMUST00000103463 ENSMUSG00000094509
ENSMUST00000103464 ENSMUSG00000076655
ENSMUST00000103478 ENSMUSG00000093838
ENSMUST00000103466 ENSMUSG00000094533
ENSMUST00000103467 ENSMUSG00000095583
ENSMUST00000103507 ENSMUSG00000094561
ENSMUST00000194625 ENSMUSG00000103290
ENSMUST00000191861 ENSMUSG00000094241
ENSMUST00000103509 ENSMUSG00000094241
ENSMUST00000103510 ENSMUSG00000094546
ENSMUST00000195735 ENSMUSG00000096649
ENSMUST00000103511 ENSMUSG00000096649
ENSMUST00000191693 ENSMUSG00000094029
ENSMUST00000103476 ENSMUSG00000094029
ENSMUST00000192499 ENSMUSG00000076668
ENSMUST00000103477 ENSMUSG00000076668
ENSMUST00000193408 ENSMUSG00000103939
ENSMUST00000195619 ENSMUSG00000076670
ENSMUST00000103479 ENSMUSG00000076670
ENSMUST00000195124 ENSMUSG00000076672
ENSMUST00000103481 ENSMUSG00000076672
ENSMUST00000194159 ENSMUSG00000094322
ENSMUST00000103482 ENSMUSG00000094322
ENSMUST00000103398 ENSMUSG00000095338
ENSMUST00000103395 ENSMUSG00000076594
ENSMUST00000103597 ENSMUSG00000095560
ENSMUST00000103399 ENSMUSG00000076598
ENSMUST00000177578 ENSMUSG00000096827
ENSMUST00000170041 ENSMUSG00000096877
ENSMUST00000103404 ENSMUSG00000095682
ENSMUST00000103394 ENSMUSG00000096844
ENSMUST00000103397 ENSMUSG00000076596
ENSMUST00000103532 ENSMUSG00000096767
ENSMUST00000103573 ENSMUSG00000076764
ENSMUST00000103543 ENSMUSG00000094124
ENSMUST00000103599 ENSMUSG00000093953
ENSMUST00000178824 ENSMUSG00000094914
ENSMUST00000103538 ENSMUSG00000095863
ENSMUST00000103559 ENSMUSG00000076750
ENSMUST00000103606 ENSMUSG00000076796
ENSMUST00000103607 ENSMUSG00000096329
ENSMUST00000177705 ENSMUSG00000096541
ENSMUST00000103305 ENSMUSG00000096580
ENSMUST00000169155 ENSMUSG00000093896
ENSMUST00000103306 ENSMUSG00000076505
ENSMUST00000103363 ENSMUSG00000076562
ENSMUST00000103556 ENSMUSG00000076747
ENSMUST00000177703 ENSMUSG00000094607
ENSMUST00000103373 ENSMUSG00000076572
ENSMUST00000103752 ENSMUSG00000076940
ENSMUST00000103321 ENSMUSG00000093861
ENSMUST00000179583 ENSMUSG00000093915
ENSMUST00000103326 ENSMUSG00000076525
ENSMUST00000183936 ENSMUSG00000098814
ENSMUST00000103332 ENSMUSG00000076531
ENSMUST00000103358 ENSMUSG00000076557
ENSMUST00000103341 ENSMUSG00000076540
ENSMUST00000168310 ENSMUSG00000091268
ENSMUST00000103379 ENSMUSG00000076578
ENSMUST00000103685 ENSMUSG00000076873
ENSMUST00000103396 ENSMUSG00000094117
ENSMUST00000103318 ENSMUSG00000094769
ENSMUST00000103542 ENSMUSG00000076733
ENSMUST00000103403 ENSMUSG00000095351
ENSMUST00000103544 ENSMUSG00000096020
ENSMUST00000103324 ENSMUSG00000076523
ENSMUST00000103547 ENSMUSG00000094075
ENSMUST00000103367 ENSMUSG00000096422
ENSMUST00000103353 ENSMUSG00000076552
ENSMUST00000103387 ENSMUSG00000076586
ENSMUST00000103608 ENSMUSG00000094619
ENSMUST00000103390 ENSMUSG00000076589
ENSMUST00000163670 ENSMUSG00000096326
ENSMUST00000103622 ENSMUSG00000094779
ENSMUST00000103302 ENSMUSG00000076501
ENSMUST00000103570 ENSMUSG00000076761
ENSMUST00000103307 ENSMUSG00000096461
ENSMUST00000167409 ENSMUSG00000090868
ENSMUST00000103624 ENSMUSG00000095480
ENSMUST00000166255 ENSMUSG00000090395
ENSMUST00000103317 ENSMUSG00000094335
ENSMUST00000103635 ENSMUSG00000076824
ENSMUST00000103539 ENSMUSG00000094502
ENSMUST00000103381 ENSMUSG00000076580
ENSMUST00000103383 ENSMUSG00000094930
ENSMUST00000103654 ENSMUSG00000094966
ENSMUST00000103549 ENSMUSG00000095127
ENSMUST00000103391 ENSMUSG00000095794
ENSMUST00000103401 ENSMUSG00000096715
ENSMUST00000103402 ENSMUSG00000094478
ENSMUST00000103568 ENSMUSG00000076759
ENSMUST00000164511 ENSMUSG00000094329
ENSMUST00000103611 ENSMUSG00000076800
ENSMUST00000103632 ENSMUSG00000076821
ENSMUST00000103634 ENSMUSG00000076823
ENSMUST00000178252 ENSMUSG00000095495
ENSMUST00000178650 ENSMUSG00000095756
ENSMUST00000103633 ENSMUSG00000076822
ENSMUST00000103677 ENSMUSG00000076865
ENSMUST00000103540 ENSMUSG00000076731
ENSMUST00000103585 ENSMUSG00000096615
ENSMUST00000103534 ENSMUSG00000096672
ENSMUST00000103303 ENSMUSG00000096336
ENSMUST00000103315 ENSMUSG00000076514
ENSMUST00000103345 ENSMUSG00000094993
ENSMUST00000103593 ENSMUSG00000096129
ENSMUST00000103301 ENSMUSG00000076500
ENSMUST00000103609 ENSMUSG00000095736
ENSMUST00000103309 ENSMUSG00000076508
ENSMUST00000103308 ENSMUSG00000093906
ENSMUST00000103618 ENSMUSG00000095572
ENSMUST00000103314 ENSMUSG00000095497
ENSMUST00000103316 ENSMUSG00000094872
ENSMUST00000103320 ENSMUSG00000095771
ENSMUST00000103335 ENSMUSG00000076534
ENSMUST00000103330 ENSMUSG00000096490
ENSMUST00000103337 ENSMUSG00000076536
ENSMUST00000103393 ENSMUSG00000094797
ENSMUST00000103626 ENSMUSG00000094231
ENSMUST00000103592 ENSMUSG00000093939
ENSMUST00000103619 ENSMUSG00000096531
ENSMUST00000103623 ENSMUSG00000093801
ENSMUST00000103334 ENSMUSG00000076533
ENSMUST00000103339 ENSMUSG00000076538
ENSMUST00000103548 ENSMUSG00000094689
ENSMUST00000179607 ENSMUSG00000095370
ENSMUST00000103553 ENSMUSG00000076744
ENSMUST00000103313 ENSMUSG00000076512
ENSMUST00000103354 ENSMUSG00000094006
ENSMUST00000103364 ENSMUSG00000076563
ENSMUST00000103376 ENSMUSG00000076575
ENSMUST00000180097 ENSMUSG00000093813
ENSMUST00000103584 ENSMUSG00000095862
ENSMUST00000103536 ENSMUSG00000095170
ENSMUST00000103537 ENSMUSG00000095519
ENSMUST00000103357 ENSMUSG00000076556
ENSMUST00000170551 ENSMUSG00000096452
ENSMUST00000103598 ENSMUSG00000096610
ENSMUST00000103587 ENSMUSG00000096055
ENSMUST00000103605 ENSMUSG00000076795
ENSMUST00000103590 ENSMUSG00000094413
ENSMUST00000103535 ENSMUSG00000094088
ENSMUST00000103541 ENSMUSG00000096074
ENSMUST00000164041 ENSMUSG00000091087
ENSMUST00000095364 ENSMUSG00000090765
ENSMUST00000103533 ENSMUSG00000095117
ENSMUST00000103551 ENSMUSG00000094940
ENSMUST00000103554 ENSMUSG00000076745
ENSMUST00000103310 ENSMUSG00000094345
ENSMUST00000103312 ENSMUSG00000096632
ENSMUST00000103322 ENSMUSG00000094749
ENSMUST00000103348 ENSMUSG00000076547
ENSMUST00000103368 ENSMUSG00000094433
ENSMUST00000103371 ENSMUSG00000076570
ENSMUST00000103388 ENSMUSG00000076587
ENSMUST00000103400 ENSMUSG00000095335
ENSMUST00000167638 ENSMUSG00000091008
ENSMUST00000103327 ENSMUSG00000076526
ENSMUST00000103356 ENSMUSG00000076555
ENSMUST00000103377 ENSMUSG00000076576
ENSMUST00000103569 ENSMUSG00000076760
ENSMUST00000179701 ENSMUSG00000096106
ENSMUST00000103655 ENSMUSG00000093966
ENSMUST00000103678 ENSMUSG00000076866
ENSMUST00000103555 ENSMUSG00000076746
ENSMUST00000103564 ENSMUSG00000076755
ENSMUST00000103571 ENSMUSG00000076762
ENSMUST00000103600 ENSMUSG00000096505
ENSMUST00000103304 ENSMUSG00000094491
ENSMUST00000103612 ENSMUSG00000095646
ENSMUST00000103319 ENSMUSG00000076518
ENSMUST00000103627 ENSMUSG00000093969
ENSMUST00000103325 ENSMUSG00000096515
ENSMUST00000103652 ENSMUSG00000076840
ENSMUST00000103342 ENSMUSG00000076541
ENSMUST00000103369 ENSMUSG00000095007
ENSMUST00000103552 ENSMUSG00000096150
ENSMUST00000103596 ENSMUSG00000094758
ENSMUST00000103650 ENSMUSG00000096825
ENSMUST00000103323 ENSMUSG00000076522
ENSMUST00000103329 ENSMUSG00000094902
ENSMUST00000103346 ENSMUSG00000076545
ENSMUST00000103366 ENSMUSG00000094094
ENSMUST00000103372 ENSMUSG00000076571
ENSMUST00000103389 ENSMUSG00000096594
ENSMUST00000103613 ENSMUSG00000076802
ENSMUST00000179997 ENSMUSG00000096168
ENSMUST00000103583 ENSMUSG00000096551
ENSMUST00000103653 ENSMUSG00000094016
ENSMUST00000103751 ENSMUSG00000076939
ENSMUST00000166645 ENSMUSG00000096577
ENSMUST00000166362 ENSMUSG00000090781
ENSMUST00000103328 ENSMUSG00000094420
ENSMUST00000103343 ENSMUSG00000094315
ENSMUST00000103340 ENSMUSG00000076539
ENSMUST00000103344 ENSMUSG00000076543
ENSMUST00000103359 ENSMUSG00000096833
ENSMUST00000103746 ENSMUSG00000076934
ENSMUST00000114212 ENSMUSG00000079543
ENSMUST00000103351 ENSMUSG00000076550
ENSMUST00000103333 ENSMUSG00000076532
ENSMUST00000166380 ENSMUSG00000095753
ENSMUST00000103380 ENSMUSG00000094356
ENSMUST00000103336 ENSMUSG00000076535
ENSMUST00000103350 ENSMUSG00000076549
ENSMUST00000103355 ENSMUSG00000095633
ENSMUST00000103392 ENSMUSG00000076591
ENSMUST00000103384 ENSMUSG00000076583
ENSMUST00000103625 ENSMUSG00000094877
ENSMUST00000103651 ENSMUSG00000076839
ENSMUST00000103679 ENSMUSG00000076867
ENSMUST00000103563 ENSMUSG00000076754
ENSMUST00000103365 ENSMUSG00000076564
ENSMUST00000103370 ENSMUSG00000076569
ENSMUST00000103374 ENSMUSG00000076573
ENSMUST00000103382 ENSMUSG00000076581
ENSMUST00000103311 ENSMUSG00000095737
ENSMUST00000103378 ENSMUSG00000076577
ENSMUST00000103386 ENSMUSG00000095630
ENSMUST00000103295 ENSMUSG00000076494
ENSMUST00000103296 ENSMUSG00000076495
ENSMUST00000103297 ENSMUSG00000076496
ENSMUST00000103298 ENSMUSG00000076497
ENSMUST00000103287 ENSMUSG00000076486
ENSMUST00000103288 ENSMUSG00000076487
ENSMUST00000103289 ENSMUSG00000076488
ENSMUST00000193061 ENSMUSG00000076489
ENSMUST00000103290 ENSMUSG00000076489
ENSMUST00000103284 ENSMUSG00000076483
ENSMUST00000103293 ENSMUSG00000076492
ENSMUST00000103294 ENSMUSG00000076493
